,id,year,doy,longitude,latitude,grid10k,covertype,fuelcode,area_burned,prefire_fuel,consumed_fuel,ECO2,ECO,ECH4,EPM2.5,cwd_frac,duff_frac,fuel_moisture_class,burn_source,burnday_source,BSEV,BSEV_flag
8114,139789836.0,2015.0,179.0,-82.9344,29.2433,23412.0,1.0,1.0,62500.0,194.020866,180.439405,302.596883,12.630758,0.483578,1.840482,0.0,0.0,2.0,4.0,77.0,2.0,1.0
8115,139789961.0,2015.0,193.0,-82.6163,29.2042,23415.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,77.0,2.0,1.0
8116,139809501.0,2015.0,195.0,-80.9983,28.9854,23431.0,3.0,1140.0,62500.0,7646.952224,4093.145176,6851.925023999999,315.172179,9.209577,48.70842800000001,0.008315000000000001,0.079528,2.0,4.0,77.0,4.0,1.0
8117,139932130.0,2015.0,217.0,-81.5961,29.0378,23425.0,3.0,1160.0,62500.0,7020.7605159999985,3762.871117,6299.04625,289.741076,8.466460000000001,44.778166,0.013494999999999998,0.070283,2.0,1.0,17.0,2.0,0.0
8118,139882568.0,2015.0,294.0,-90.374,29.8626,23339.0,1.0,1.0,62500.0,209.376648,194.720283,326.5459140000001,13.63042,0.52185,1.986147,0.0,0.0,2.0,2.0,12.0,3.0,1.0
8119,139894396.0,2015.0,32.0,-81.4171,29.0227,23427.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,1.0,17.0,2.0,0.0
8120,139866062.0,2015.0,138.0,-81.3678,29.0229,23427.0,1.0,1.0,0.0,188.192394,175.018926,293.50674,12.251325,0.469051,1.785193,0.0,0.0,2.0,4.0,77.0,1.0,1.0
8121,139866129.0,2015.0,192.0,-81.1981,28.9995,23429.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,77.0,2.0,1.0
8122,139973705.0,2015.0,37.0,-99.1152,29.9405,22794.0,2.0,2.0,0.0,1304.793126,1174.313813,1969.324265,82.20196700000002,3.147161,11.978001,0.0,0.0,2.0,2.0,12.0,1.0,1.0
8123,139901211.0,2015.0,338.0,-91.044,29.8906,23333.0,1.0,1.0,62500.0,210.497508,195.762682,328.294018,13.703388,0.524644,1.996779,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8124,139938309.0,2015.0,290.0,-92.8723,29.9492,23315.0,1.0,1.0,0.0,178.328826,165.845808,278.12342,11.609207,0.444467,1.691627,0.0,0.0,2.0,1.0,17.0,1.0,0.0
8125,139950586.0,2015.0,182.0,-82.7292,29.1795,23414.0,3.0,1400.0,62500.0,6849.442773999999,3477.623684,5821.542047,267.77702400000004,7.824653,41.383722,0.025461,0.07405,2.0,4.0,77.0,2.0,1.0
8126,139992850.0,2015.0,87.0,-98.4854,29.9522,22800.0,3.0,2700.0,0.0,2639.337818,1979.738069,3076.51296,263.305163,14.808441,45.13802800000001,0.162671,0.157472,2.0,4.0,17.0,1.0,1.0
8127,140014680.0,2015.0,288.0,-90.8983,29.8568,22873.0,1.0,1.0,62500.0,271.80855,252.781951,423.915333,17.694737,0.6774560000000001,2.578376,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8128,140042984.0,2015.0,339.0,-91.0254,29.8559,22872.0,1.0,1.0,62500.0,224.84451600000003,209.1054,350.669756,14.637378,0.5604020000000001,2.132875,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8129,140045194.0,2015.0,50.0,-82.4837,29.125999999999998,22955.0,1.0,1.0,62500.0,293.441148,272.90026800000004,457.653749,19.103019,0.7313729999999999,2.783583,0.0,0.0,2.0,4.0,17.0,2.0,1.0
8130,140045595.0,2015.0,288.0,-81.4664,28.9929,22965.0,3.0,1140.0,0.0,7646.952224,3806.638898,6372.313515,293.111195,8.564938,45.299003000000006,0.008941,0.085513,2.0,4.0,17.0,1.0,1.0
8131,140051995.0,2015.0,185.0,-92.1639,29.8996,22861.0,1.0,1.0,0.0,202.87566,188.674364,316.406908,13.207204999999998,0.5056470000000001,1.924479,0.0,0.0,2.0,2.0,12.0,1.0,1.0
8132,140064464.0,2015.0,141.0,-81.5508,28.9998,22965.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,77.0,2.0,1.0
8133,140080569.0,2015.0,331.0,-91.5923,29.8712,22867.0,1.0,1.0,62500.0,218.00727,202.746761,340.006318,14.192273000000002,0.543361,2.068017,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8134,140092411.0,2015.0,3.0,-82.5821,29.127,22954.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,2.0,12.0,2.0,1.0
8135,140102515.0,2015.0,97.0,-80.9274,28.9045,22971.0,3.0,1500.0,62500.0,4335.068543,2390.7403,4002.099263,184.087003,5.3791660000000014,28.44981,0.038183,0.050889,2.0,4.0,77.0,2.0,1.0
8136,140111778.0,2015.0,193.0,-81.4033,28.9683,22966.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,77.0,2.0,1.0
8137,140118313.0,2015.0,316.0,-91.74799999999999,29.8684,22865.0,1.0,1.0,62500.0,188.528652,175.331646,294.031171,12.273215,0.4698890000000001,1.7883830000000005,0.0,0.0,3.0,2.0,12.0,2.0,1.0
8138,140118399.0,2015.0,338.0,-91.5255,29.8595,22867.0,1.0,1.0,62500.0,180.12220200000004,167.513648,280.920387,11.725955,0.448937,1.708639,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8139,140140266.0,2015.0,177.0,-81.063,28.9144,22969.0,3.0,1140.0,0.0,7646.952224,3806.638898,6372.313515,293.111195,8.564938,45.299003000000006,0.008941,0.085513,2.0,4.0,77.0,1.0,1.0
8140,140225050.0,2015.0,218.0,-81.7626,28.9893,22963.0,1.0,1.0,62500.0,361.589436,336.278175,563.9385,23.539472,0.901226,3.4300370000000004,0.0,0.0,2.0,1.0,81.0,2.0,0.0
8141,140225357.0,2015.0,172.0,-80.9857,28.883000000000003,22970.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,17.0,2.0,1.0
8142,140258858.0,2015.0,284.0,-94.9082,29.9119,22835.0,1.0,1.0,62500.0,342.758988,318.765859,534.570345,22.31361,0.8542930000000001,3.251412,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8143,140272046.0,2015.0,234.0,-82.4213,29.0634,22956.0,1.0,1.0,62500.0,209.264562,194.616043,326.371104,13.623123,0.521571,1.985084,0.0,0.0,3.0,2.0,12.0,3.0,1.0
8144,140307429.0,2015.0,338.0,-91.5021,29.8134,22868.0,1.0,1.0,62500.0,204.332778,190.029484,318.679444,13.302064,0.509279,1.938301,0.0,0.0,2.0,2.0,12.0,3.0,1.0
8145,140338573.0,2015.0,141.0,-81.4861,28.9247,22504.0,1.0,1.0,62500.0,197.27136,183.462365,307.666386,12.842366,0.491679,1.871316,0.0,0.0,2.0,4.0,77.0,2.0,1.0
8146,140386092.0,2015.0,180.0,-80.8208,28.8208,22511.0,3.0,1160.0,62500.0,7020.7605159999985,3838.521588,6425.685138,295.566162,8.636674000000001,45.678407,0.013229,0.068897,2.0,4.0,77.0,3.0,1.0
8147,140347623.0,2015.0,169.0,-82.5029,29.0555,22494.0,3.0,1400.0,62500.0,6849.442773999999,3477.623684,5821.542047,267.77702400000004,7.824653,41.383722,0.025461,0.07405,2.0,4.0,77.0,2.0,1.0
8148,140357609.0,2015.0,129.0,-81.148,28.8737,22508.0,3.0,1140.0,0.0,7646.952224,3806.638898,6372.313515,293.111195,8.564938,45.299003000000006,0.008941,0.085513,2.0,4.0,77.0,1.0,1.0
8149,140366983.0,2015.0,173.0,-81.3431,28.8984,22506.0,3.0,1980.0,62500.0,3528.529372,1869.088161,3128.853582,143.91978799999995,4.2054480000000005,22.242149,0.040999,0.062049,2.0,4.0,77.0,4.0,1.0
8150,140408686.0,2015.0,42.0,-98.5032,29.8526,22339.0,3.0,2700.0,62500.0,2639.337818,2153.167329,3346.02203,286.371255,16.105692,49.092215,0.149569,0.144788,2.0,2.0,12.0,4.0,1.0
8151,140404903.0,2015.0,183.0,-81.0514,28.8488,22509.0,3.0,1140.0,62500.0,7646.952224,4093.145176,6851.925023999999,315.172179,9.209577,48.70842800000001,0.008315000000000001,0.079528,2.0,4.0,77.0,4.0,1.0
8152,140414155.0,2015.0,331.0,-81.555,28.9158,22504.0,1.0,1.0,62500.0,224.84451600000003,209.1054,350.669756,14.637378,0.5604020000000001,2.132875,0.0,0.0,2.0,4.0,77.0,2.0,1.0
8153,140413907.0,2015.0,155.0,-82.1833,28.9988,22497.0,3.0,1500.0,62500.0,4335.068543,2390.7403,4002.099263,184.087003,5.3791660000000014,28.44981,0.038183,0.050889,2.0,4.0,77.0,2.0,1.0
8154,140414410.0,2015.0,191.0,-80.9104,28.8266,22510.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,17.0,2.0,1.0
8155,140432645.0,2015.0,151.0,-82.6001,29.0471,22493.0,3.0,1400.0,62500.0,6849.442773999999,3477.623684,5821.542047,267.77702400000004,7.824653,41.383722,0.025461,0.07405,2.0,4.0,77.0,2.0,1.0
8156,140456350.0,2015.0,331.0,-97.4441,29.8605,22349.0,1.0,1.0,62500.0,302.183856,281.030986,471.288964,19.672169,0.753163,2.866516,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8157,140465196.0,2015.0,41.0,-99.0099,29.8263,22334.0,1.0,1.0,62500.0,248.943006,231.516996,388.254002,16.20619,0.620466,2.361473,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8158,140479852.0,2015.0,133.0,-82.7238,29.0511,22492.0,3.0,1400.0,62500.0,6849.442773999999,3538.016547,5922.6397,272.427274,7.960536999999999,42.102397,0.025026,0.072786,2.0,4.0,77.0,3.0,1.0
8159,140631808.0,2015.0,81.0,-80.8566,28.7664,22511.0,3.0,1980.0,62500.0,3528.529372,1784.30282,2986.92292,137.391317,4.014681,21.233204,0.042947000000000006,0.064998,2.0,4.0,77.0,2.0,1.0
8160,140650500.0,2015.0,165.0,-81.3877,28.8359,22505.0,3.0,1600.0,62500.0,6220.097576,2252.18155,3770.151915,173.417979,5.067408,26.80096,0.041316000000000005,0.145824,2.0,4.0,77.0,2.0,1.0
8161,140666829.0,2015.0,336.0,-90.8304,29.6978,22413.0,1.0,1.0,0.0,203.99652,189.716764,318.155013,13.280173,0.508441,1.935111,0.0,0.0,2.0,2.0,12.0,1.0,1.0
8162,140678813.0,2015.0,185.0,-81.49,28.843000000000004,22504.0,3.0,1980.0,62500.0,3528.529372,1784.30282,2986.92292,137.391317,4.014681,21.233204,0.042947000000000006,0.064998,2.0,4.0,77.0,2.0,1.0
8163,140711500.0,2015.0,291.0,-97.5129,29.7987,21888.0,1.0,1.0,62500.0,318.772584,296.458503,497.16091,20.752095,0.794509,3.023877,0.0,0.0,2.0,4.0,77.0,3.0,1.0
8164,140773021.0,2015.0,129.0,-82.2582,28.9217,22036.0,3.0,1600.0,0.0,6220.097576,2210.56493,3700.485693,170.2135,4.973771,26.305723,0.042094,0.148569,2.0,2.0,12.0,1.0,1.0
8165,140915398.0,2015.0,47.0,-80.7175,28.6778,22051.0,3.0,1500.0,62500.0,4335.068543,2390.7403,4002.099263,184.087003,5.3791660000000014,28.44981,0.038183,0.050889,2.0,1.0,15.0,2.0,0.0
8166,140839196.0,2015.0,135.0,-82.2152,28.9002,22036.0,3.0,1500.0,62500.0,4335.068543,2390.7403,4002.099263,184.087003,5.3791660000000014,28.44981,0.038183,0.050889,2.0,4.0,77.0,2.0,1.0
8167,140959814.0,2015.0,40.0,-90.8244,29.6275,21952.0,1.0,1.0,62500.0,220.24899,204.831561,343.502527,14.338209,0.548949,2.089282,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8168,141047637.0,2015.0,172.0,-80.9122,28.6736,22049.0,3.0,1140.0,62500.0,7646.952224,3978.542665,6660.080421,306.347785,8.951721000000003,47.344658,0.008554,0.081818,2.0,4.0,17.0,3.0,1.0
8169,141024776.0,2015.0,278.0,-93.9103,29.7147,21922.0,1.0,1.0,62500.0,329.53284,306.4655410000001,513.942713,21.452588,0.8213280000000001,3.1259490000000003,0.0,0.0,2.0,1.0,17.0,3.0,0.0
8170,141057069.0,2015.0,179.0,-80.9605,28.6781,22049.0,3.0,1500.0,62500.0,4335.068543,2390.7403,4002.099263,184.087003,5.3791660000000014,28.44981,0.038183,0.050889,2.0,4.0,15.0,2.0,1.0
8171,141038151.0,2015.0,342.0,-81.0001,28.6883,22048.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,15.0,2.0,1.0
8172,141072018.0,2015.0,277.0,-93.9442,29.7041,21922.0,1.0,1.0,62500.0,251.857242,234.227235,392.799073,16.395906,0.627729,2.389118,0.0,0.0,2.0,1.0,15.0,3.0,0.0
8173,141109543.0,2015.0,280.0,-94.6654,29.7063,21454.0,1.0,1.0,62500.0,169.922376,158.02781000000004,265.012637,11.061947,0.423515,1.611884,0.0,0.0,2.0,2.0,12.0,2.0,1.0
